imageFilePath,rMean,gMean,bMean,rStdDev,gStdDev,bStdDev,skyline/individual
data/Comcast Center - Philadelphia/4603.jpg,145.8586609,139.2155521,123.9106146,98.18704982,97.28556784,93.96777338,individual
data/Wilshire Grand Center/8684.jpg,125.1815062,133.4567853,144.1094594,76.56400538,76.81802526,77.30608679,individual
data/Four Seasons Place - Kuala Lumpur/113.jpg,48.84061305,40.85254669,42.98875936,39.03476773,28.642686,30.12728689,skyline
data/Salesforce Tower/5345.jpg,114.2574646,108.3686196,105.2518644,70.38810007,69.67065258,69.30630116,skyline
data/Wilshire Grand Center/10528.jpg,88.757476,87.90793679,89.33272143,71.38977907,76.43815621,83.4426432,individual
data/Four Seasons Place - Kuala Lumpur/1284.jpg,110.3377037,116.5088565,116.9336027,79.86729329,83.42894923,89.9179635,individual
data/Comcast Center - Philadelphia/4855.jpg,86.39024625,98.73623026,128.1597315,44.07664224,45.52824311,62.13903035,skyline
data/Wilshire Grand Center/5104.jpg,121.5753801,103.234938,106.1245592,68.43977173,64.09594193,62.09854476,individual
data/Wilshire Grand Center/9723.jpg,94.25732327,99.00379213,105.7755496,69.3656374,67.09092014,64.34662384,skyline
data/China Resources HQ - Shenzhen/505.jpg,92.34079626,97.78704903,122.9650317,47.17653236,44.09954822,40.30590461,skyline
data/Wilshire Grand Center/15896.jpg,109.2021699,102.5561931,87.2538176,52.49991707,53.43120242,55.25624785,skyline
data/Wilshire Grand Center/9544.jpg,139.3576945,164.5906303,189.6049543,47.78950563,54.40289179,67.12774228,individual
data/Wilshire Grand Center/16954.jpg,96.51936753,103.0954745,114.0956139,49.33920993,51.95159776,65.03820931,skyline
data/China Resources HQ - Shenzhen/698.jpg,138.0487829,133.4134149,136.7819042,73.52761339,67.24320909,66.81832308,individual
data/Wilshire Grand Center/14087.jpg,96.67882974,110.4791299,124.6936538,62.40710597,58.40831545,61.27331806,skyline
data/Wilshire Grand Center/11008.jpg,128.0489632,131.0194493,132.7664124,72.85998863,76.86605802,80.78581024,individual
data/Comcast Center - Philadelphia/4982.jpg,120.5831543,161.0918522,180.9112012,64.87027263,89.27589091,97.33617919,individual
data/Comcast Center - Philadelphia/4322.jpg,105.1889231,97.79733959,91.33044774,63.25862804,64.71561301,67.10967618,individual
data/Wilshire Grand Center/7339.jpg,109.8919132,109.156499,104.9349162,57.76252499,57.41917598,57.50022476,individual
data/Wilshire Grand Center/10190.jpg,84.389125,78.90615278,72.36318056,75.97710376,71.39274341,65.34127926,individual
data/Four Seasons Place - Kuala Lumpur/2265.jpg,110.0481297,110.1322331,110.8612079,74.7809893,77.04723453,80.57501438,individual
data/Salesforce Tower/9498.jpg,160.0897852,159.6181572,180.5042214,50.75470546,45.51140393,44.93127402,skyline
data/Wilshire Grand Center/13116.jpg,83.83902081,114.5150007,130.269454,73.00120409,60.64385284,78.0886169,skyline
data/Wilshire Grand Center/7590.jpg,103.5359627,102.0486453,93.68940267,55.88152499,53.99045275,49.98055167,individual
data/Salesforce Tower/329.jpg,115.4957692,133.9315242,165.0761823,60.4914732,67.76795563,83.85445016,individual
data/Wilshire Grand Center/16731.jpg,87.9639444,103.441788,120.0958575,66.2838648,69.88473183,77.90042851,individual
data/Wilshire Grand Center/13386.jpg,118.6453366,115.968789,111.9101117,74.3806378,73.48328963,74.88975176,individual
data/Comcast Center - Philadelphia/3046.jpg,129.3280819,130.3066075,108.0021992,59.02400642,52.44586686,40.80646322,skyline
data/Wilshire Grand Center/286.jpg,66.16814839,48.57258065,36.02422581,58.06137557,44.38426134,37.88814131,skyline
data/Four Seasons Place - Kuala Lumpur/166.jpg,66.84457786,60.6567247,73.06753723,41.23256446,34.96173495,45.89307188,skyline
data/Wilshire Grand Center/16009.jpg,110.5690115,114.1136636,124.7787449,45.49579964,46.27929273,53.55645786,individual
data/Wilshire Grand Center/13933.jpg,95.44347569,106.0922826,120.8607319,71.3422039,76.36287725,86.20068888,individual
data/Four Seasons Place - Kuala Lumpur/2993.jpg,66.84457786,60.6567247,73.06753723,41.23256446,34.96173495,45.89307188,skyline
data/Wilshire Grand Center/4901.jpg,115.1289938,109.2772438,114.9989,63.22663376,59.26375569,51.55353503,individual
data/Four Seasons Place - Kuala Lumpur/2400.jpg,127.5832709,125.4467282,118.6445851,80.28307656,78.34093571,81.97328178,individual
data/Wilshire Grand Center/7806.jpg,110.2932307,118.5998217,128.440506,48.88948386,44.09640648,44.30278847,individual
data/Comcast Center - Philadelphia/4152.jpg,125.9131365,124.753053,130.9411977,51.24577611,52.93539123,54.06847135,individual
data/Wilshire Grand Center/12321.jpg,110.7428894,113.6451162,108.8350868,67.18540888,64.23205275,64.07853258,individual
data/Wilshire Grand Center/15825.jpg,74.48149515,67.34480117,58.58981542,55.26703067,47.30273292,37.02423931,skyline
data/Wilshire Grand Center/12525.jpg,119.6409719,135.7067343,152.7692571,64.88376639,68.68947947,78.65679478,individual
data/Salesforce Tower/6173.jpg,102.5740224,118.3316538,137.3931976,62.64144813,70.91106086,84.88391748,individual
data/Wilshire Grand Center/14055.jpg,100.159816,103.7417701,110.4410604,72.13882451,76.04150659,84.46734342,individual
data/Comcast Center - Philadelphia/3053.jpg,114.8918389,138.7842466,161.6995444,48.308716,42.10659946,49.32354678,individual
data/Four Seasons Place - Kuala Lumpur/3235.jpg,100.4301453,78.69395752,58.25690765,67.23508498,52.40087962,36.1583444,skyline
data/Four Seasons Place - Kuala Lumpur/1670.jpg,66.84457786,60.6567247,73.06753723,41.23256446,34.96173495,45.89307188,skyline
data/Wilshire Grand Center/15840.jpg,55.14598227,55.14574789,55.14575755,50.08344778,50.08346568,50.08343839,skyline
data/Wilshire Grand Center/12957.jpg,105.3577939,117.0419873,133.4593053,76.33327804,81.46894399,89.67955796,individual
data/Four Seasons Place - Kuala Lumpur/3258.jpg,110.3377037,116.5088565,116.9336027,79.86729329,83.42894923,89.9179635,individual
data/Salesforce Tower/8991.jpg,129.6530415,132.1594032,132.5265228,52.84285415,52.81010542,61.71462427,skyline
data/Four Seasons Place - Kuala Lumpur/321.jpg,100.4301453,78.69395752,58.25690765,67.23508498,52.40087962,36.1583444,skyline
data/Salesforce Tower/6251.jpg,128.0888009,117.398863,110.2757176,56.45662605,55.82279749,57.46915718,individual
data/China Resources HQ - Shenzhen/159.jpg,147.6098611,155.4502878,164.3655956,58.17282937,53.94687338,54.37904783,skyline
data/Wilshire Grand Center/11912.jpg,107.5623515,114.7052886,117.7399185,56.17765986,56.97226441,59.44083734,individual
data/Salesforce Tower/8533.jpg,111.0933398,109.4083138,115.8774902,64.68501715,63.5895861,61.71882274,individual
data/Wilshire Grand Center/17100.jpg,73.1059844,91.52031485,107.1274484,62.83661302,66.3791176,82.12975238,skyline
data/Comcast Center - Philadelphia/3696.jpg,141.2682432,131.7992236,122.3387184,48.64375739,46.88551853,44.57453328,individual
data/Wilshire Grand Center/14912.jpg,103.7811076,141.9248896,177.1020222,37.73880503,42.79231842,56.82680196,individual
data/Wilshire Grand Center/10856.jpg,129.4871263,136.0080792,139.6777434,57.16366518,61.80813363,70.15351578,individual
data/Wilshire Grand Center/6708.jpg,117.5603956,112.4487079,105.1201007,55.32309335,50.78098725,52.04301059,individual
data/Wilshire Grand Center/9513.jpg,133.0879222,146.120425,152.1823194,38.09909751,36.53531458,38.89020887,individual
data/Salesforce Tower/5970.jpg,135.5662914,147.1714939,152.4339591,41.05786014,40.73770493,44.53575012,individual
data/Four Seasons Place - Kuala Lumpur/1706.jpg,111.3595761,109.2382036,110.4478461,74.19376024,68.5016891,66.81860282,skyline
data/Comcast Center - Philadelphia/4816.jpg,98.60966898,93.2301223,92.07162041,59.1516887,43.95068678,31.79016873,skyline
data/Wilshire Grand Center/2978.jpg,89.37901965,91.58711329,88.2385995,62.59410451,63.91591312,66.4339613,individual
data/Wilshire Grand Center/8460.jpg,123.1568208,116.4249125,121.4253625,62.8254277,59.83602914,52.40658018,individual
data/Wilshire Grand Center/8799.jpg,115.5569166,119.7518323,118.2853686,46.45321772,47.06133936,46.76872251,individual
data/Four Seasons Place - Kuala Lumpur/2046.jpg,66.84457786,60.6567247,73.06753723,41.23256446,34.96173495,45.89307188,skyline
data/Wilshire Grand Center/16874.jpg,145.6345215,160.3827264,177.505847,55.48221687,61.5295924,54.57694393,individual
data/Wilshire Grand Center/16681.jpg,50.42693733,43.37483197,34.28560863,48.3865078,44.17245288,35.41639333,individual
data/Wilshire Grand Center/12761.jpg,92.38857145,107.8281984,120.2493792,60.32557322,64.78776377,66.53901989,skyline
data/Wilshire Grand Center/8819.jpg,135.3708153,136.9203822,137.1014969,55.44435783,55.28994861,56.80603069,individual
data/Wilshire Grand Center/14905.jpg,74.8706936,62.29385905,82.59241557,56.0964217,48.57883654,51.97398318,skyline
data/Comcast Center - Philadelphia/2773.jpg,127.4407835,133.2783176,130.7561921,63.84716293,66.27162314,70.87434433,individual
data/Salesforce Tower/9699.jpg,88.13458247,75.22563101,69.06014552,54.43742916,49.41039468,45.78914935,individual
data/Wilshire Grand Center/13087.jpg,116.9158583,130.0485493,145.6656267,66.28255478,76.60596934,89.20331159,individual
data/Comcast Center - Philadelphia/5097.jpg,79.88797633,85.42090988,85.21784846,78.19540064,83.30078869,87.08202042,individual
data/Four Seasons Place - Kuala Lumpur/2389.jpg,100.4301453,78.69395752,58.25690765,67.23508498,52.40087962,36.1583444,skyline
data/Four Seasons Place - Kuala Lumpur/627.jpg,92.23772558,96.32492447,93.41119385,76.52460811,74.33265927,75.2649389,individual
data/Wilshire Grand Center/10501.jpg,125.4241045,124.3166351,123.2742835,66.47737014,64.22850499,63.72262574,individual
data/Wilshire Grand Center/5040.jpg,109.8425521,110.5559813,117.3365813,54.34434795,53.85600902,50.69192176,individual
data/Four Seasons Place - Kuala Lumpur/1366.jpg,127.5832709,125.4467282,118.6445851,80.28307656,78.34093571,81.97328178,individual
data/Wilshire Grand Center/14560.jpg,95.24765567,94.59924618,93.4685684,63.46109285,62.53713879,63.50318778,individual
data/Wilshire Grand Center/15667.jpg,116.5071234,118.4175674,114.4749274,76.05484448,71.35695949,66.44815612,skyline
data/Four Seasons Place - Kuala Lumpur/479.jpg,110.0481297,110.1322331,110.8612079,74.7809893,77.04723453,80.57501438,individual
data/Wilshire Grand Center/13554.jpg,85.8752303,93.9468202,106.1525404,41.1198732,46.91330556,55.39952223,individual
data/Wilshire Grand Center/15262.jpg,106.9018042,111.6937146,116.1140292,79.599763,79.75936849,79.34916764,individual
data/China Resources HQ - Shenzhen/613.jpg,137.4033181,147.8085212,157.3064748,70.38754952,65.55470049,61.75973056,individual
data/Comcast Center - Philadelphia/5337.jpg,115.4116923,119.7922844,125.1972769,75.00393361,79.75937054,86.74302452,individual
data/Wilshire Grand Center/288.jpg,74.84072842,54.13248842,35.80016842,51.03643084,43.59866242,39.55749095,individual
data/Four Seasons Place - Kuala Lumpur/3275.jpg,66.84457786,60.6567247,73.06753723,41.23256446,34.96173495,45.89307188,skyline
data/China Resources HQ - Shenzhen/492.jpg,146.4051474,158.5535044,164.0465681,49.08202096,43.66097738,60.83706438,skyline
data/Wilshire Grand Center/15195.jpg,125.5894913,135.2831808,145.0203942,69.00320808,69.38664023,77.26523551,skyline
data/Wilshire Grand Center/17213.jpg,113.1875966,126.4841881,138.6613528,60.25695057,66.28226474,74.61807484,skyline
data/Wilshire Grand Center/14630.jpg,88.20926462,127.3989966,162.6540781,61.99796152,55.35167444,67.04123308,individual
data/Wilshire Grand Center/12274.jpg,58.42622588,65.01090236,72.28470129,59.70313244,67.0631783,82.90749775,individual
data/Four Seasons Place - Kuala Lumpur/2943.jpg,128.4391556,129.2906151,125.0392253,70.229666,70.52907334,72.27521308,skyline
data/Wilshire Grand Center/10846.jpg,125.9333615,125.4427829,125.7467295,86.41116006,88.84656617,88.80879733,individual
data/Salesforce Tower/6013.jpg,107.541613,100.4485537,100.7795769,67.66857,71.14035507,71.8390466,individual
data/Wilshire Grand Center/10873.jpg,125.9333615,125.4427829,125.7467295,86.41116006,88.84656617,88.80879733,individual
data/Salesforce Tower/9500.jpg,114.5188155,139.337611,148.8445614,63.11027765,67.32802284,70.30507257,skyline
data/Wilshire Grand Center/4181.jpg,118.8159753,101.5976913,87.79177247,63.90780083,58.04328943,51.91606654,skyline
data/Four Seasons Place - Kuala Lumpur/2423.jpg,56.19099446,53.01060636,84.81436877,39.14013688,39.70759007,43.45397245,skyline
data/Wilshire Grand Center/13235.jpg,128.7666473,139.8383077,151.8394419,72.74463112,78.91791743,88.1304781,individual
data/Salesforce Tower/2377.jpg,137.0874774,99.8687973,71.31297811,62.14276953,63.22831481,53.60544357,individual
data/Four Seasons Place - Kuala Lumpur/1567.jpg,92.23772558,96.32492447,93.41119385,76.52460811,74.33265927,75.2649389,individual
data/Four Seasons Place - Kuala Lumpur/1095.jpg,123.8234774,143.4120789,130.2003021,59.15580771,60.03986618,60.83106653,skyline
data/Salesforce Tower/8338.jpg,108.9691715,104.7234125,101.9424829,66.38719685,64.79380856,59.73627509,individual
data/Wilshire Grand Center/4743.jpg,93.63793691,96.59632238,97.34400431,63.69804268,61.50150801,56.85983665,individual
data/Wilshire Grand Center/12356.jpg,125.6017441,127.572503,132.0034101,61.03793906,63.19569296,72.94012027,individual
data/China Resources HQ - Shenzhen/526.jpg,138.0487829,133.4134149,136.7819042,73.52761339,67.24320909,66.81832308,individual
data/Wilshire Grand Center/16761.jpg,110.6771595,109.7156105,100.8568605,72.01076468,70.52459865,73.36090926,individual
data/Wilshire Grand Center/15405.jpg,160.8317624,156.4832995,134.4756209,46.48975446,41.82912132,39.68335726,skyline
data/Wilshire Grand Center/6601.jpg,133.6933173,130.7747787,128.1667467,56.63972702,51.92372838,47.25486944,individual
data/Four Seasons Place - Kuala Lumpur/1048.jpg,111.3595761,109.2382036,110.4478461,74.19376024,68.5016891,66.81860282,skyline
data/Four Seasons Place - Kuala Lumpur/2646.jpg,111.3595761,109.2382036,110.4478461,74.19376024,68.5016891,66.81860282,skyline
data/Four Seasons Place - Kuala Lumpur/34.jpg,130.7049623,133.1437277,134.4606229,83.63985302,84.27512111,88.76215764,individual
data/Wilshire Grand Center/16749.jpg,89.70034937,124.0908883,165.044695,56.00088212,63.42685375,75.81765908,individual
data/Comcast Center - Philadelphia/5266.jpg,81.9294168,91.19316723,97.76654787,60.3943424,76.23054809,85.84906035,individual
data/Comcast Center - Philadelphia/5197.jpg,64.2185392,86.44167752,123.6445832,42.2607296,64.04900632,96.82875496,individual
data/Wilshire Grand Center/16571.jpg,151.6279721,167.0459993,176.4335262,54.01944494,43.44986338,42.54847546,skyline
data/Wilshire Grand Center/11184.jpg,79.26801369,92.77420562,107.318019,75.34611259,73.92984433,79.18128146,individual
data/Comcast Center - Philadelphia/4845.jpg,58.82315833,64.29297083,77.56615938,45.46573277,50.62281211,67.96743175,individual
data/Salesforce Tower/7552.jpg,123.9964495,119.4001855,118.380687,51.5903243,50.3488864,49.30421502,individual
data/Wilshire Grand Center/12358.jpg,115.5356481,119.2603132,118.1240435,61.68815002,65.6593821,73.37991775,individual
data/Wilshire Grand Center/7695.jpg,98.623792,97.84904,94.403056,71.41866616,68.85448982,64.51139363,individual
data/Four Seasons Place - Kuala Lumpur/62.jpg,110.3377037,116.5088565,116.9336027,79.86729329,83.42894923,89.9179635,individual
data/Salesforce Tower/5265.jpg,123.7071508,116.5357285,104.0209394,66.83412855,57.50109778,53.22665351,skyline
data/Wilshire Grand Center/14708.jpg,95.09539286,99.67213952,100.8662295,79.65254908,72.7525414,66.06357714,skyline
data/China Resources HQ - Shenzhen/406.jpg,146.4051474,158.5535044,164.0465681,49.08202096,43.66097738,60.83706438,skyline
data/Wilshire Grand Center/10967.jpg,153.4128151,158.369667,163.3338853,67.09740161,69.42895843,73.60670783,individual
data/Wilshire Grand Center/12958.jpg,106.7060253,117.7139187,132.6899901,71.83125214,75.6269105,83.30007986,individual
data/Wilshire Grand Center/13136.jpg,131.300109,152.009452,168.183032,48.66567753,52.18345899,55.17320742,skyline
data/China Resources HQ - Shenzhen/547.jpg,99.12577148,100.9694873,95.69653076,80.25718808,79.85323537,83.57245572,skyline
data/Wilshire Grand Center/16211.jpg,122.1205634,122.5945761,116.099131,63.59085931,64.14723995,70.30225318,skyline
data/Four Seasons Place - Kuala Lumpur/489.jpg,48.84061305,40.85254669,42.98875936,39.03476773,28.642686,30.12728689,skyline
data/Wilshire Grand Center/11339.jpg,123.9562531,127.6570367,129.1327379,75.87731865,84.3891834,88.9927894,individual
data/Salesforce Tower/4525.jpg,131.9346441,141.9562322,163.2938118,58.25848848,48.70103374,53.91181551,individual
data/Wilshire Grand Center/13948.jpg,73.13593926,72.77674132,94.55891006,26.45781269,24.98520436,29.47238045,skyline
data/Comcast Center - Philadelphia/4117.jpg,79.92808246,77.67852474,73.39811544,57.34552766,57.4442106,58.95438063,individual
data/Wilshire Grand Center/9646.jpg,140.5867468,126.6828245,104.3864228,41.32638372,44.03664423,46.02166425,skyline
data/Four Seasons Place - Kuala Lumpur/1810.jpg,102.4241104,97.53573533,90.37866885,58.78208114,53.91849569,51.55097495,individual
data/China Resources HQ - Shenzhen/24.jpg,147.6111071,145.701343,144.090163,80.3619779,82.29709241,83.9959001,individual
data/Wilshire Grand Center/11051.jpg,122.457606,124.7723762,127.5948842,78.90953292,80.82287465,83.89160562,individual
data/Wilshire Grand Center/10186.jpg,77.25876111,65.03871111,57.14698056,61.90317869,57.88499164,51.89725656,individual
data/Wilshire Grand Center/14508.jpg,101.9048675,112.3722247,126.2138642,59.83019838,64.51546532,75.922994,individual
data/Wilshire Grand Center/8535.jpg,102.9394086,114.9262657,136.5499306,66.91448704,58.91065934,60.88556236,individual
data/Salesforce Tower/9606.jpg,67.48759365,56.5115757,44.02253819,68.42400019,63.02522537,56.08421314,individual
data/Wilshire Grand Center/15785.jpg,43.98825516,33.19066487,25.91122303,53.1762422,40.73148827,31.69265644,skyline
data/Salesforce Tower/5822.jpg,70.40932846,76.8788592,82.19683202,66.02009269,70.21404314,75.64491172,individual
data/Wilshire Grand Center/4344.jpg,112.2487534,113.4722744,111.4844433,65.21770178,64.85915625,67.72068326,individual
data/Wilshire Grand Center/16724.jpg,113.8490237,117.6534578,116.5070436,68.18173691,65.80798155,71.22491817,skyline
data/Wilshire Grand Center/16656.jpg,98.76896526,96.04766101,96.36311519,71.81550092,66.71257229,70.1637185,skyline
data/Wilshire Grand Center/10131.jpg,128.1819272,121.6974243,113.9827367,70.10032464,70.54235678,74.9245568,skyline
data/Four Seasons Place - Kuala Lumpur/1001.jpg,123.8234774,143.4120789,130.2003021,59.15580771,60.03986618,60.83106653,skyline
data/Wilshire Grand Center/3087.jpg,110.7253514,107.8389928,100.7783767,62.02613218,62.35951157,62.66551106,individual
data/Wilshire Grand Center/12271.jpg,96.16625755,100.6837193,99.7886926,55.23780523,53.41570273,53.37237414,individual
data/Wilshire Grand Center/13919.jpg,98.32821158,122.2117351,142.5436723,54.6610148,58.43601412,70.77231936,individual
data/Wilshire Grand Center/7462.jpg,40.69533297,54.17746659,80.50184414,55.16436447,46.87715317,45.86194044,skyline
data/Wilshire Grand Center/10086.jpg,119.4193115,137.6838443,157.5496826,60.29455834,61.28516003,67.43889532,individual
data/Wilshire Grand Center/10679.jpg,104.2497593,104.802258,107.8974609,66.55737309,68.27145089,72.21838014,individual
data/Four Seasons Place - Kuala Lumpur/1622.jpg,102.4241104,97.53573533,90.37866885,58.78208114,53.91849569,51.55097495,skyline
data/Comcast Center - Philadelphia/5381.jpg,125.4172115,121.8735595,129.1538069,91.79353976,86.40147974,78.67823337,skyline
data/Wilshire Grand Center/11380.jpg,99.22041321,101.8406355,103.0553453,86.06625537,85.95305917,86.7197581,skyline
data/Comcast Center - Philadelphia/3600.jpg,74.86725871,73.10480372,66.17315801,69.28981347,66.99201729,68.13728673,individual
data/Four Seasons Place - Kuala Lumpur/1637.jpg,100.4301453,78.69395752,58.25690765,67.23508498,52.40087962,36.1583444,skyline
data/Four Seasons Place - Kuala Lumpur/2651.jpg,48.84061305,40.85254669,42.98875936,39.03476773,28.642686,30.12728689,skyline
data/Wilshire Grand Center/14843.jpg,116.4751714,129.8326785,139.8550275,63.97252502,60.63515936,63.67041602,individual
data/Four Seasons Place - Kuala Lumpur/3121.jpg,48.84061305,40.85254669,42.98875936,39.03476773,28.642686,30.12728689,skyline
data/Four Seasons Place - Kuala Lumpur/484.jpg,111.3595761,109.2382036,110.4478461,74.19376024,68.5016891,66.81860282,skyline
data/Wilshire Grand Center/11208.jpg,89.58346729,115.6711393,139.8451062,70.05091328,63.58084925,74.86906594,individual
data/Four Seasons Place - Kuala Lumpur/875.jpg,128.4391556,129.2906151,125.0392253,70.229666,70.52907334,72.27521308,skyline
data/Wilshire Grand Center/12601.jpg,120.805152,118.8482412,117.8317023,79.42158021,80.65806793,80.57209219,individual
data/Wilshire Grand Center/12414.jpg,98.37919221,93.79947726,89.21686694,66.24987524,67.00929163,66.52707139,individual
data/Comcast Center - Philadelphia/5258.jpg,139.8573654,140.7527013,140.4143874,60.11733386,57.73851938,53.33418575,skyline
data/Wilshire Grand Center/7697.jpg,123.456262,113.417745,89.19750468,70.8533834,61.52364985,52.77898502,individual
data/Wilshire Grand Center/13443.jpg,80.24712292,100.8459479,105.385975,58.4643161,73.53201374,78.73733125,individual
data/Comcast Center - Philadelphia/4965.jpg,64.96056507,75.99642323,93.33579,47.54104567,62.32906892,88.9688918,individual
data/China Resources HQ - Shenzhen/725.jpg,146.0373406,153.5048947,162.3475436,73.61746954,69.25577964,64.9781495,individual
