imageFilePath,rMean,gMean,bMean,rStdDev,gStdDev,bStdDev,night/day
data/Wilshire Grand Center/13062.jpg,141.0434425,148.364046,155.1666651,77.24836873,78.28691483,79.11580355,day
data/Salesforce Tower/9088.jpg,73.60951382,66.359959,60.97980963,72.06224899,63.14974083,54.65478596,night
data/Wilshire Grand Center/3880.jpg,139.7723168,154.7244026,161.88633,44.79872835,44.15272609,47.31567268,day
data/Wilshire Grand Center/14440.jpg,112.84371,110.5147728,108.3275817,110.7204089,100.9634766,91.78224901,night
data/Wilshire Grand Center/15889.jpg,130.722067,153.4294975,157.6869152,69.12282718,68.96968739,52.62851595,day
data/Salesforce Tower/7092.jpg,120.0742979,120.9686958,124.2588688,66.36153324,70.54814015,70.42131183,day
data/Wilshire Grand Center/16807.jpg,80.09357488,84.05481335,91.58590909,60.1415444,61.89033233,67.15532146,day
data/Four Seasons Place - Kuala Lumpur/796.jpg,93.98660439,132.0592491,147.0551051,54.45492955,60.52774109,75.79805433,day
data/Four Seasons Place - Kuala Lumpur/1053.jpg,48.84061305,40.85254669,42.98875936,39.03476773,28.642686,30.12728689,night
data/Wilshire Grand Center/8723.jpg,128.3529576,145.0384834,167.8020703,60.12435416,62.21870242,70.80535869,day
data/Four Seasons Place - Kuala Lumpur/1330.jpg,111.3595761,109.2382036,110.4478461,74.19376024,68.5016891,66.81860282,day
data/Wilshire Grand Center/11595.jpg,96.01697795,101.2516869,102.1468404,68.91249866,74.34544545,81.51673379,day
data/Salesforce Tower/9432.jpg,96.19991609,96.54233218,90.6491956,80.3184148,83.55502849,81.77988356,day
data/Wilshire Grand Center/10889.jpg,67.5359741,83.01627985,100.1765505,51.99060898,50.82032802,61.78987743,day
data/Wilshire Grand Center/13372.jpg,123.7768724,123.1252696,122.1272786,84.47529293,85.35834263,85.92363419,day
data/Wilshire Grand Center/12601.jpg,120.805152,118.8482412,117.8317023,79.42158021,80.65806793,80.57209219,day
data/Wilshire Grand Center/14731.jpg,63.29105066,72.32950516,79.7644348,44.75652602,48.48330328,56.17900197,day
data/Wilshire Grand Center/4095.jpg,88.92530314,91.86660894,103.02565,61.61323704,60.32121043,65.40264505,day
data/Wilshire Grand Center/8521.jpg,116.2771416,113.6381747,108.6529884,76.11191446,75.26754089,72.00291442,day
data/Wilshire Grand Center/7938.jpg,90.40223542,104.2799938,110.0350583,81.98493081,76.32342261,68.93838493,day
data/Salesforce Tower/6173.jpg,102.5740224,118.3316538,137.3931976,62.64144813,70.91106086,84.88391748,day
data/Four Seasons Place - Kuala Lumpur/614.jpg,127.5832709,125.4467282,118.6445851,80.28307656,78.34093571,81.97328178,day
data/Wilshire Grand Center/16401.jpg,85.03489339,115.5426423,133.832138,78.12214018,61.99932644,55.86728006,day
data/Wilshire Grand Center/12069.jpg,83.29580477,93.60213259,104.4840448,70.93251433,76.2621939,82.47343718,day
data/Salesforce Tower/9017.jpg,69.87130217,65.83127359,69.10513842,53.71986407,49.30524246,51.95733766,night
data/Wilshire Grand Center/9676.jpg,96.94023781,109.0284478,121.8841685,55.9788669,58.03211358,65.57438744,day
data/Wilshire Grand Center/16290.jpg,81.47238842,62.48038676,52.86898212,38.95037671,33.11118776,29.03508958,night
data/Wilshire Grand Center/9171.jpg,133.0879222,146.120425,152.1823194,38.09909751,36.53531458,38.89020887,day
data/Four Seasons Place - Kuala Lumpur/1172.jpg,93.98660439,132.0592491,147.0551051,54.45492955,60.52774109,75.79805433,day
data/Wilshire Grand Center/14546.jpg,140.0064783,139.0513426,127.8333883,61.96463396,61.06688968,57.38528652,day
data/Wilshire Grand Center/5728.jpg,111.5849458,106.3526896,103.9082833,49.73734153,45.5657096,41.24408261,day
data/Wilshire Grand Center/16353.jpg,107.6277774,125.2989074,156.7541848,67.69813662,71.61679212,70.89934516,day
data/Wilshire Grand Center/14406.jpg,96.41259596,101.9561734,112.9579841,64.87846615,63.97285271,67.43522824,day
data/Wilshire Grand Center/11577.jpg,107.9625986,119.3546632,135.1651354,70.59045567,76.52342742,87.99964171,day
data/Wilshire Grand Center/12960.jpg,89.43463391,103.2956836,116.0782211,69.61968911,68.16679668,78.10747186,day
data/Wilshire Grand Center/4539.jpg,89.77581667,92.825025,113.577975,70.53473595,69.33298644,54.97916487,day
data/Four Seasons Place - Kuala Lumpur/2082.jpg,111.3595761,109.2382036,110.4478461,74.19376024,68.5016891,66.81860282,day
data/Wilshire Grand Center/17156.jpg,153.9080118,163.922927,172.9786,54.3637216,55.20173156,51.93871064,day
data/Apple HQ/1046.jpg,138.721222,138.9961712,146.3114279,37.64503152,33.85568506,31.89713819,day
data/Wilshire Grand Center/11183.jpg,70.15916732,72.96218881,76.06106461,65.20036334,68.76675786,73.88086879,day
data/Wilshire Grand Center/6194.jpg,115.1257667,108.7109667,105.8940083,47.76353896,44.17674385,42.53391219,day
data/Wilshire Grand Center/15454.jpg,80.21533489,93.54700064,123.7666872,81.8800133,67.06650398,68.01544765,night
data/Wilshire Grand Center/14569.jpg,76.75110202,91.24581909,115.7285326,61.73417485,65.72209917,70.9422776,day
data/Wilshire Grand Center/12616.jpg,119.2574259,113.0754106,110.3746219,70.78598498,68.16825509,67.86538182,day
data/Wilshire Grand Center/16334.jpg,99.83655972,102.3589851,126.0759633,87.17274069,72.10712236,70.97236721,day
data/Wilshire Grand Center/10131.jpg,128.1819272,121.6974243,113.9827367,70.10032464,70.54235678,74.9245568,day
data/Wilshire Grand Center/14926.jpg,128.5485503,131.089993,133.7223956,49.86502448,45.89657059,37.18040533,day
data/Salesforce Tower/9310.jpg,71.28540985,83.57600904,109.7043835,54.74102473,69.82540853,89.31763199,day
data/Wilshire Grand Center/13193.jpg,108.3511183,115.4016622,123.0157064,61.33652718,67.05298601,72.80159915,day
data/Wilshire Grand Center/13457.jpg,107.7095845,122.2273091,139.9661211,64.62130082,67.7065345,79.10779133,day
data/Wilshire Grand Center/17100.jpg,73.1059844,91.52031485,107.1274484,62.83661302,66.3791176,82.12975238,day
data/Wilshire Grand Center/4554.jpg,63.57030353,64.332396,76.64124935,53.40522993,48.18610539,49.59316437,night
data/Four Seasons Place - Kuala Lumpur/3418.jpg,130.7049623,133.1437277,134.4606229,83.63985302,84.27512111,88.76215764,day
data/Four Seasons Place - Kuala Lumpur/2805.jpg,66.84457786,60.6567247,73.06753723,41.23256446,34.96173495,45.89307188,night
data/Four Seasons Place - Kuala Lumpur/3351.jpg,123.8234774,143.4120789,130.2003021,59.15580771,60.03986618,60.83106653,day
data/Wilshire Grand Center/14247.jpg,51.83986663,56.35164686,55.28486743,45.37303146,33.02827062,22.48692773,night
data/Wilshire Grand Center/5535.jpg,123.7487667,128.4080833,138.4162389,78.18760706,74.69450059,64.98986375,day
data/Wilshire Grand Center/14601.jpg,95.49611806,130.142408,156.367106,78.0552936,57.38490678,61.54689453,day
data/Salesforce Tower/9674.jpg,139.0242828,143.9563063,148.698399,82.03229946,82.54265212,82.32295389,day
data/Wilshire Grand Center/15354.jpg,155.4702185,157.5577208,158.5179622,62.00846634,61.64259559,61.7763644,day
data/Wilshire Grand Center/13667.jpg,86.22107848,108.6293562,135.7798073,44.36274107,56.600035,73.01701217,day
data/Apple HQ/1031.jpg,130.7065378,130.8941037,140.5240887,44.33314444,42.0873594,39.22183942,day
data/Wilshire Grand Center/9092.jpg,111.3349083,113.6199208,112.3110375,81.48048204,84.79017886,88.09158504,day
data/Salesforce Tower/8937.jpg,118.0446142,110.1559412,106.8554246,73.30263485,71.42720595,71.26544832,day
data/Four Seasons Place - Kuala Lumpur/291.jpg,110.0481297,110.1322331,110.8612079,74.7809893,77.04723453,80.57501438,day
data/Wilshire Grand Center/13716.jpg,101.8536574,111.4605681,123.2888592,48.48180724,45.94100534,50.35334871,day
data/Salesforce Tower/4891.jpg,123.7071508,116.5357285,104.0209394,66.83412855,57.50109778,53.22665351,day
data/Wilshire Grand Center/11443.jpg,102.2540961,106.2958391,110.8656294,80.97300976,80.92301509,84.80474293,day
data/Four Seasons Place - Kuala Lumpur/3324.jpg,130.7049623,133.1437277,134.4606229,83.63985302,84.27512111,88.76215764,day
data/Wilshire Grand Center/13634.jpg,176.8065012,187.7650283,205.1792327,70.63899037,73.86955064,66.19424784,day
data/Wilshire Grand Center/11945.jpg,91.96479458,83.02717082,78.4043986,71.55030851,71.43713177,72.23647201,day
data/Wilshire Grand Center/10841.jpg,117.1370121,118.4845869,118.8469187,98.134379,99.05117023,98.60555159,day
data/Wilshire Grand Center/14085.jpg,80.90139071,96.83906895,116.505272,53.12886302,48.10571437,50.04504027,day
data/Four Seasons Place - Kuala Lumpur/1830.jpg,93.98660439,132.0592491,147.0551051,54.45492955,60.52774109,75.79805433,day
data/Wilshire Grand Center/14902.jpg,69.52669911,91.2851542,109.6937301,50.29447896,51.16485713,54.97843856,night
data/Wilshire Grand Center/15252.jpg,112.3281426,113.9081215,105.5907023,82.44747207,77.91318503,73.92558447,day
data/Four Seasons Place - Kuala Lumpur/34.jpg,130.7049623,133.1437277,134.4606229,83.63985302,84.27512111,88.76215764,day
data/Wilshire Grand Center/15850.jpg,96.33832056,97.46206944,99.36235278,52.36720308,51.70153053,52.49746508,day
data/Salesforce Tower/648.jpg,135.7481131,135.6461315,164.1798517,57.58971733,49.70161059,47.21998894,night
data/Four Seasons Place - Kuala Lumpur/2186.jpg,102.4241104,97.53573533,90.37866885,58.78208114,53.91849569,51.55097495,night
data/Wilshire Grand Center/9232.jpg,73.20258803,69.19656972,62.23835857,51.84242071,51.5882893,48.68607188,night
data/Wilshire Grand Center/13428.jpg,80.24712292,100.8459479,105.385975,58.4643161,73.53201374,78.73733125,day
data/Wilshire Grand Center/16447.jpg,57.31139635,44.99403906,28.60030104,61.39448094,47.08733512,36.11435127,night
data/Four Seasons Place - Kuala Lumpur/1106.jpg,66.84457786,60.6567247,73.06753723,41.23256446,34.96173495,45.89307188,night
data/Wilshire Grand Center/8835.jpg,61.53869271,70.46202135,87.57507604,58.98023193,61.2246351,67.03369706,day
data/Wilshire Grand Center/10275.jpg,118.9890306,117.5240917,116.8648694,74.31939028,73.65942942,73.79882575,day
data/Wilshire Grand Center/13415.jpg,86.76132708,112.2670729,147.9334396,50.3427179,63.82642964,80.97272232,day
data/Four Seasons Place - Kuala Lumpur/1073.jpg,100.4301453,78.69395752,58.25690765,67.23508498,52.40087962,36.1583444,night
data/Wilshire Grand Center/14904.jpg,99.19185272,106.659399,139.6636357,45.80561447,47.18717589,53.830002,night
data/Salesforce Tower/6760.jpg,94.61199738,98.46085664,110.4867045,53.25831804,51.12760399,60.52932919,day
data/Four Seasons Place - Kuala Lumpur/2881.jpg,123.8234774,143.4120789,130.2003021,59.15580771,60.03986618,60.83106653,day
data/Four Seasons Place - Kuala Lumpur/1805.jpg,48.84061305,40.85254669,42.98875936,39.03476773,28.642686,30.12728689,night
data/Wilshire Grand Center/12906.jpg,113.7208423,126.2766309,129.7518677,68.91654014,73.33772011,77.69497032,day
data/Wilshire Grand Center/14246.jpg,74.01557867,117.47888,155.138864,45.90354871,43.59761665,54.26390473,day
data/Wilshire Grand Center/14708.jpg,95.09539286,99.67213952,100.8662295,79.65254908,72.7525414,66.06357714,day
data/Salesforce Tower/7248.jpg,99.83023542,97.940875,97.51465417,62.79746885,62.9089984,60.71334571,day
data/Wilshire Grand Center/13234.jpg,134.1825545,156.6320513,178.8570726,48.26596872,59.80392035,74.73526552,day
data/Wilshire Grand Center/11740.jpg,87.84809115,98.58861198,112.2301589,58.76602612,68.07046752,83.33473934,day
data/Wilshire Grand Center/11940.jpg,91.84891256,87.40138414,83.54814826,78.73608595,78.14958654,77.26363594,day
data/Wilshire Grand Center/17130.jpg,108.3605273,123.3208402,163.171677,67.6396392,56.83655317,56.64875376,day
data/Wilshire Grand Center/10964.jpg,156.0787087,155.3454631,154.6285788,87.5686091,88.68020748,89.78869159,day
data/Wilshire Grand Center/12341.jpg,83.07421304,94.87219167,88.44666455,69.56941151,65.84028614,56.27186661,day
data/Salesforce Tower/9499.jpg,51.56778413,63.24203863,100.019673,33.59772219,24.66760022,30.43261475,night
data/Four Seasons Place - Kuala Lumpur/2507.jpg,92.23772558,96.32492447,93.41119385,76.52460811,74.33265927,75.2649389,day
data/Four Seasons Place - Kuala Lumpur/1742.jpg,127.5832709,125.4467282,118.6445851,80.28307656,78.34093571,81.97328178,day
data/Four Seasons Place - Kuala Lumpur/1513.jpg,110.0481297,110.1322331,110.8612079,74.7809893,77.04723453,80.57501438,day
data/Four Seasons Place - Kuala Lumpur/625.jpg,123.8234774,143.4120789,130.2003021,59.15580771,60.03986618,60.83106653,day
data/Wilshire Grand Center/10330.jpg,122.2438049,117.1840125,112.7250756,76.77914138,79.23979985,79.24767068,day
data/Four Seasons Place - Kuala Lumpur/3463.jpg,66.84457786,60.6567247,73.06753723,41.23256446,34.96173495,45.89307188,night
data/Wilshire Grand Center/10528.jpg,88.757476,87.90793679,89.33272143,71.38977907,76.43815621,83.4426432,day
data/Wilshire Grand Center/10527.jpg,67.15183881,70.04367501,85.54288439,68.04022428,61.0001694,62.83911205,night
data/Wilshire Grand Center/10244.jpg,45.45212699,45.51599961,43.93976053,55.05823925,48.48678052,47.81368386,night
data/Wilshire Grand Center/5638.jpg,91.74448542,87.13246042,78.97800625,52.11603954,49.81269645,43.96592944,day
data/Wilshire Grand Center/13992.jpg,137.1764676,154.1329255,168.787228,60.94005828,56.66765705,67.79757072,day
data/Wilshire Grand Center/9443.jpg,23.07295153,28.7611405,31.57587968,38.08210782,35.0580221,33.08674883,night
data/Wilshire Grand Center/15588.jpg,48.30186695,50.58656823,39.54877427,46.62647225,46.09305849,43.83911958,night
data/Wilshire Grand Center/9234.jpg,104.5895058,105.431685,103.9784168,59.9027436,58.72756129,60.88493903,day
data/Wilshire Grand Center/819.jpg,112.7489459,117.6375974,123.1944987,64.62988882,70.69890647,81.16959637,day
data/Salesforce Tower/7727.jpg,95.77659668,91.28483643,82.21553467,74.90848944,70.82649915,67.91861925,day
data/Four Seasons Place - Kuala Lumpur/3126.jpg,102.4241104,97.53573533,90.37866885,58.78208114,53.91849569,51.55097495,night
data/Four Seasons Place - Kuala Lumpur/212.jpg,102.4241104,97.53573533,90.37866885,58.78208114,53.91849569,51.55097495,night
data/Four Seasons Place - Kuala Lumpur/1473.jpg,92.23772558,96.32492447,93.41119385,76.52460811,74.33265927,75.2649389,day
data/Salesforce Tower/9220.jpg,115.6580599,118.0135266,116.0248286,87.55864395,87.89589855,90.48122175,day
data/Salesforce Tower/7733.jpg,116.8146817,118.3185836,121.7414036,68.42521502,68.91185937,74.49549597,day
data/Salesforce Tower/708.jpg,135.7481131,135.6461315,164.1798517,57.58971733,49.70161059,47.21998894,day
data/Four Seasons Place - Kuala Lumpur/3181.jpg,66.84457786,60.6567247,73.06753723,41.23256446,34.96173495,45.89307188,night
data/Salesforce Tower/3911.jpg,100.7852198,105.0802142,109.4361204,68.00496694,58.22864944,54.37104781,day
data/Salesforce Tower/6174.jpg,100.1031568,109.427164,125.8235079,61.92618973,68.8608021,81.99799675,day
data/Apple HQ/614.jpg,167.9596029,144.8988439,113.4683744,73.39917364,64.49535119,55.71916392,day
data/Salesforce Tower/9768.jpg,111.9033073,112.4635069,108.1157292,83.40804154,84.55532708,85.35588629,day
data/Wilshire Grand Center/8798.jpg,129.2977028,125.3097038,121.4543101,76.0473335,77.18041124,72.81124866,day
data/Salesforce Tower/9193.jpg,122.3115451,119.2807363,118.5510076,84.03358342,85.03236193,83.60054587,day
data/Wilshire Grand Center/2947.jpg,106.2021554,92.42403771,93.21380116,74.77864804,70.32933142,66.3257754,day
data/Wilshire Grand Center/13087.jpg,116.9158583,130.0485493,145.6656267,66.28255478,76.60596934,89.20331159,day
data/Four Seasons Place - Kuala Lumpur/3512.jpg,130.7049623,133.1437277,134.4606229,83.63985302,84.27512111,88.76215764,day
data/Wilshire Grand Center/9513.jpg,133.0879222,146.120425,152.1823194,38.09909751,36.53531458,38.89020887,day
data/Wilshire Grand Center/13851.jpg,88.90617778,111.9889549,132.7993444,59.04198263,64.1439997,81.71077058,day
data/Wilshire Grand Center/6607.jpg,146.7168537,151.1336064,156.9496562,63.83581439,64.53251006,70.05714901,day
data/Wilshire Grand Center/14995.jpg,107.8759854,95.04255736,79.60782339,103.4875525,90.6008646,74.38729155,day
data/Wilshire Grand Center/15125.jpg,74.90147728,85.02533629,100.779467,82.41734659,73.86465965,65.45028952,day
data/Wilshire Grand Center/12923.jpg,77.71709504,83.97762875,100.4089419,53.39239388,47.44899063,43.27456658,night
data/Apple HQ/836.jpg,150.9186653,148.456496,147.0219841,42.62998997,39.23327182,38.52187671,day
data/Wilshire Grand Center/13666.jpg,84.06057566,102.2556156,124.4198661,44.79572871,59.3242973,80.90470473,day
data/Four Seasons Place - Kuala Lumpur/361.jpg,66.84457786,60.6567247,73.06753723,41.23256446,34.96173495,45.89307188,night
data/Wilshire Grand Center/15845.jpg,134.5998564,138.5221553,146.8275967,53.00294762,48.90892649,41.053527,day
data/Wilshire Grand Center/16139.jpg,123.4603043,135.4361628,157.3843364,73.76884346,74.55166208,71.02167372,day
data/Wilshire Grand Center/16249.jpg,116.4395934,119.2683202,119.3984514,80.39196757,77.44769173,76.22356705,day
data/Wilshire Grand Center/12270.jpg,64.84219275,69.78024654,81.66680313,60.57060781,67.6874291,82.34524404,day
data/Wilshire Grand Center/13269.jpg,134.3713474,158.2626927,181.8600125,77.03075144,61.96216052,61.63282611,day
data/Wilshire Grand Center/15918.jpg,58.92758567,52.14898226,44.12939668,46.99010904,43.47673343,38.96714776,night
data/Salesforce Tower/9430.jpg,159.5480787,160.697798,156.706684,77.68087866,82.40133502,84.93858655,day
data/Wilshire Grand Center/8409.jpg,85.51706461,105.5569616,129.086339,56.58733137,66.65866294,81.32001293,day
data/Wilshire Grand Center/6197.jpg,140.7825688,135.1524063,128.546975,43.15670632,39.82001537,38.53594277,day
data/Wilshire Grand Center/10884.jpg,120.2987551,114.6257303,105.1552272,48.89857751,48.93774989,48.61039357,day
data/Wilshire Grand Center/2946.jpg,121.5753801,103.234938,106.1245592,68.43977173,64.09594193,62.09854476,day
data/Wilshire Grand Center/14506.jpg,109.7257508,126.2628066,139.2688781,68.27012029,75.11202757,85.8703504,day
data/Salesforce Tower/1434.jpg,82.35663333,115.0816083,140.74925,51.87260224,42.08627882,58.15935343,day
data/Salesforce Tower/6825.jpg,128.7700222,134.2844111,140.7620933,76.66295706,79.64266438,84.93425709,day
data/Four Seasons Place - Kuala Lumpur/1904.jpg,102.4241104,97.53573533,90.37866885,58.78208114,53.91849569,51.55097495,night
data/Wilshire Grand Center/16772.jpg,114.3839507,117.4742367,118.5915977,79.74042175,79.35241818,83.22228198,day
data/Wilshire Grand Center/14305.jpg,121.3411782,137.1601753,153.8530469,75.11152036,73.90054648,78.54605353,day
data/Wilshire Grand Center/15896.jpg,109.2021699,102.5561931,87.2538176,52.49991707,53.43120242,55.25624785,day
data/Wilshire Grand Center/7345.jpg,68.05329768,65.56626511,65.70285288,57.72279396,60.39302053,60.76629268,night
data/Four Seasons Place - Kuala Lumpur/3047.jpg,100.4301453,78.69395752,58.25690765,67.23508498,52.40087962,36.1583444,night
data/Wilshire Grand Center/15920.jpg,69.45831379,65.77822737,55.07450614,51.87508862,48.24931756,44.0184611,night
data/Wilshire Grand Center/13418.jpg,74.60482292,85.41647083,104.0810833,56.21476604,63.59733971,78.05283833,day
data/Wilshire Grand Center/16274.jpg,95.28021493,122.6534204,145.882925,58.37386883,65.45201941,78.25718399,day
data/Wilshire Grand Center/3479.jpg,144.2019083,145.089725,150.698425,68.90216633,68.27297009,68.0392413,day
data/Salesforce Tower/8366.jpg,154.0426216,170.5771713,181.672905,77.20839102,85.9337025,84.07260169,day
data/Wilshire Grand Center/287.jpg,37.64146914,21.04175309,15.33161728,52.66052577,34.24812544,29.38757557,night
data/Wilshire Grand Center/10309.jpg,144.0974774,139.2952128,133.6334986,61.891231,64.64167602,66.63796585,day
data/Wilshire Grand Center/12359.jpg,139.4382549,152.5245399,159.0569995,68.38242254,69.5428605,78.48686789,day
data/Four Seasons Place - Kuala Lumpur/2975.jpg,123.8234774,143.4120789,130.2003021,59.15580771,60.03986618,60.83106653,day
data/Apple HQ/942.jpg,119.3069498,100.1505092,99.9476689,77.52742951,69.99290697,66.04924296,day
data/Four Seasons Place - Kuala Lumpur/766.jpg,111.3595761,109.2382036,110.4478461,74.19376024,68.5016891,66.81860282,day
data/Wilshire Grand Center/14915.jpg,114.2325033,146.0416243,180.9729089,45.34291849,50.51768245,68.12618807,day
data/Four Seasons Place - Kuala Lumpur/1043.jpg,110.0481297,110.1322331,110.8612079,74.7809893,77.04723453,80.57501438,day
data/Four Seasons Place - Kuala Lumpur/2656.jpg,102.4241104,97.53573533,90.37866885,58.78208114,53.91849569,51.55097495,night
data/Wilshire Grand Center/13589.jpg,23.89495432,72.80151712,139.1409049,50.37851249,40.23636722,69.99482483,night
data/Wilshire Grand Center/4917.jpg,116.0191542,112.9721146,115.8712229,71.36785186,65.30204843,56.49481265,day
data/Wilshire Grand Center/12356.jpg,125.6017441,127.572503,132.0034101,61.03793906,63.19569296,72.94012027,day
data/Wilshire Grand Center/12744.jpg,99.37839485,100.208261,98.25182249,74.49187987,74.59628058,77.20764946,day
data/Four Seasons Place - Kuala Lumpur/2770.jpg,93.98660439,132.0592491,147.0551051,54.45492955,60.52774109,75.79805433,day
data/Wilshire Grand Center/7338.jpg,120.2987551,114.6257303,105.1552272,48.89857751,48.93774989,48.61039357,day
data/Wilshire Grand Center/14648.jpg,98.61450625,111.7219889,133.1649931,62.40073846,67.13772227,79.51938474,day
data/Wilshire Grand Center/14507.jpg,102.535305,110.5569137,116.2004999,67.44985596,77.65406578,91.30125989,day
data/Wilshire Grand Center/13319.jpg,133.3723049,147.5047361,165.6864778,58.95737859,62.20322223,69.42432241,day
data/Four Seasons Place - Kuala Lumpur/1642.jpg,93.98660439,132.0592491,147.0551051,54.45492955,60.52774109,75.79805433,day
data/Wilshire Grand Center/13680.jpg,97.0842742,124.9672466,149.938231,65.89440989,55.79546494,66.20336749,day
data/Salesforce Tower/8938.jpg,86.76140729,114.1390734,153.0753792,47.52910895,56.0498341,82.69634692,day
data/Salesforce Tower/8297.jpg,120.4852278,118.0682879,112.2664979,75.55396488,74.64320144,75.00866978,day
data/Wilshire Grand Center/12038.jpg,85.5109609,88.32639567,96.35811996,65.94965137,71.20788761,76.44635884,day
